id;bairro;cep
885;JARDIM ELISA MARIA;02873400
886;JARDIM ELISA MARIA;02873410
887;JARDIM ELISA MARIA;02873420
888;JARDIM ELISA MARIA;02873430
889;JARDIM ELISA MARIA;02873440
890;JARDIM ELISA MARIA;02873450
891;JARDIM ELISA MARIA;02873460
892;JARDIM ELISA MARIA;02873470
893;JARDIM ELISA MARIA;02873480
894;JARDIM ELISA MARIA;02873490
895;JARDIM ELISA MARIA;02873500
896;JARDIM ELISA MARIA;02873510
897;JARDIM ELISA MARIA;02873520
898;JARDIM ELISA MARIA;02873530
899;JARDIM ELISA MARIA;02873540
900;JARDIM ELISA MARIA;02873550
901;JARDIM ELISA MARIA;02873560
902;JARDIM ELISA MARIA;02873570
903;JARDIM ELISA MARIA;02873580
904;JARDIM ELISA MARIA;02873590
905;JARDIM ELISA MARIA;02873600
906;JARDIM ELISA MARIA;02873610
907;JARDIM ELISA MARIA;02873620
908;JARDIM ELISA MARIA;02873630
909;JARDIM ELISA MARIA;02873640
910;JARDIM ELISA MARIA;02873650
911;JARDIM ELISA MARIA;02873680
912;JARDIM ELISA MARIA;02873730
913;JARDIM ELISA MARIA;02873740
914;JARDIM ELISA MARIA;02873750
915;JARDIM ELISA MARIA;02873760
916;JARDIM ELISA MARIA;02873770
917;JARDIM ELISA MARIA;02874000
918;JARDIM ELISA MARIA;02874010
919;JARDIM ELISA MARIA;02874020
920;JARDIM ELISA MARIA;02874030
921;JARDIM ELISA MARIA;02874040
922;JARDIM ELISA MARIA;02874060
923;JARDIM ELISA MARIA;02874070
924;JARDIM ELISA MARIA;02874080
925;JARDIM ELISA MARIA;02874090
926;JARDIM ELISA MARIA;02874100
927;JARDIM ELISA MARIA;02874110
928;JARDIM ELISA MARIA;02874140
929;JARDIM ELISA MARIA;02874150
930;JARDIM ELISA MARIA;02874160
931;JARDIM ELISA MARIA;02875000
932;JARDIM ELISA MARIA;02875010
933;JARDIM ELISA MARIA;02875020
934;JARDIM ELISA MARIA;02875030
935;JARDIM ELISA MARIA;02875040
936;JARDIM ELISA MARIA;02875050
937;JARDIM ELISA MARIA;02875060
938;JARDIM ELISA MARIA;02875070
939;JARDIM ELISA MARIA;02875074
940;JARDIM ELISA MARIA;02875080
941;JARDIM ELISA MARIA;02873740
942;JARDIM VITORIA REGIA;02859140
943;JARDIM VITORIA REGIA;02859150
944;JARDIM VITORIA REGIA;02859160
945;JARDIM VITORIA REGIA;02859170
946;JARDIM VITORIA REGIA;02859180
947;JARDIM VITORIA REGIA;02859190
948;JARDIM VITORIA REGIA;02859200
949;JARDIM VITORIA REGIA;02859210
950;JARDIM VITORIA REGIA;02859220
951;JARDIM VITORIA REGIA;02859230
952;JARDIM VITORIA REGIA;02857090
953;JARDIM BRASILIA;02858040
954;JARDIM BRASILIA;02858050
955;JARDIM BRASILIA;02859000
